ID,Title,Sku,"Post Type","Product Type","Parent Product ID","Regular Price","Sale Price","Product categories",Brand,rank_math_seo_score
3017,"Social share buttons - social pug",,product,external,0,24,,"Wordpress Plugins>Social Network &amp; Translation",,
3019,Realtyna,,product,external,0,199,,"Wordpress Plugins>Miscellaneous",,
3021,ConvertPlus,,product,external,0,24,,"Wordpress Plugins>Forms &amp; Popups",,
3023,Booked,,product,external,0,49,,"Wordpress Plugins>Calendar",,
3025,"Roots Popups",,product,external,0,17,,"Wordpress Plugins>Forms &amp; Popups",,
3027,"Awesome Live Chat",,product,external,0,25,,"Wordpress Plugins>Miscellaneous",,
3029,"WP Simple Booking calendar",,product,external,0,29,,"Wordpress Plugins>Miscellaneous",,
3031,"Chat X",,product,external,0,25,,"Wordpress Plugins>Miscellaneous",,
3033,"Web 2.0 Directory",,product,external,0,39,,"Wordpress Plugins>Miscellaneous",,
3035,EventOn,,product,external,0,25,,"Wordpress Plugins>Calendar",,
3037,"Real Estate Pro",,product,external,0,39,,"Wordpress Plugins>Miscellaneous",,
3039,"Ninja Popups",,product,external,0,27,,"Wordpress Plugins>Forms &amp; Popups",ARScode,
3043,Estatik,,product,external,0,45,,"Wordpress Plugins>Miscellaneous",,
3045,"Easy Property Listing",,product,external,0,97,,"Wordpress Plugins>Miscellaneous",,
3047,"WordPress Live Chat Plugin",,product,external,0,25,,"Wordpress Plugins>Social Network &amp; Translation",,
3049,"WP Flat Visual Chat",,product,external,0,29,,"Wordpress Plugins>Social Network &amp; Translation",,
3051,Templatera,,product,external,0,13,,"Wordpress Plugins>Page Builder",,
3053,"Interactive World Maps",,product,external,0,29,,"Wordpress Plugins>Miscellaneous",,
3055,"WooCommerce Single Product Page Builder",,product,external,0,29,,"Wordpress Plugins>Miscellaneous",,
3057,"Visual Composer Clipboard",,product,external,0,17,,"Wordpress Plugins>Miscellaneous",,
3059,"Ultimate Addons for Visual Composer",,product,external,0,13,,"Wordpress Plugins>Miscellaneous",,
3061,"Visual Composer Extensions Addon",,product,external,0,28,,"Wordpress Plugins>Miscellaneous",,
3063,"4k Icon Fonts for Visual Composer",,product,external,0,18,,"Wordpress Plugins>Miscellaneous",,
3065,"Ultimate Tweaker",,product,external,0,16,,"Wordpress Plugins>Security Plugin",,12
3067,Akismet,,product,external,0,8.33,,"Wordpress Plugins>Security Plugin",,12
3069,WPML,,product,external,0,29,,"Wordpress Plugins>Social Network &amp; Translation",,12
3071,"Visual Composer Extensions Addon All in One",,product,external,0,26,,"Wordpress Plugins>Miscellaneous",,13
3073,"Easy Tables",,product,external,0,13,,"Wordpress Plugins>Forms &amp; Popups",,12
3075,Javo,,product,external,0,49,,"Wordpress Themes>Page Builder",,11
3077,"Massive Addons for Visual Composer",,product,external,0,26,,"Wordpress Plugins>Miscellaneous",,13
3079,"DHVC form",,product,external,0,20,,"Wordpress Plugins>Forms &amp; Popups",,11
3081,"Woocommerce Products Layouts",,product,external,0,16,,"Wordpress Plugins>Page Builder",,11
3083,"WP Rocket",,product,external,0,39,,"Wordpress Plugins>Caching Plugin",,12
3085,"Anti-spam Pro",,product,external,0,26,,"Wordpress Plugins>Security Plugin",,8
3087,"W3 Total Cache",,product,external,0,99,,"Wordpress Plugins>Caching Plugin",,11
3089,"WP Fastest Cache",,product,external,0,49.99,,"Wordpress Plugins>Caching Plugin",,12
3091,"Comet Cache",,product,external,0,39,,"Wordpress Plugins>Caching Plugin",,13
3095,"Anti-spam Bee",,product,external,0,0,,"Wordpress Plugins>Security Plugin",,11
3099,CleanTalk,,product,external,0,9.99,,"Wordpress Plugins>Security Plugin",,15
3101,WPBruiser,,product,external,0,0,,"Wordpress Plugins>Security Plugin",,12
3103,"WP Cerber",,product,external,0,99,,"Wordpress Plugins>Security Plugin",,15
3105,"WordPress, BuddyPress Users Chat Plugin",,product,external,0,36,,"Wordpress Plugins>Social Network &amp; Translation",,78
3107,"WooCommerce Amazon Affiliates",,product,external,0,49,,"Wordpress Plugins>Affiliate",,13
3109,"Table Rate Shipping",,product,external,0,25,,"Wordpress Plugins>E-commerce",,11
3111,Woof,,product,external,0,39,19,"Wordpress Plugins>E-commerce",,11
3113,"WooCommerce Extra Product Options",,product,external,0,39,,"Wordpress Plugins>E-commerce",,12
3115,"WooCommerce Shipping Tracking",,product,external,0,22,,"Wordpress Plugins>E-commerce",Vanquish,15
3117,"WooCommerce Dynamic Pricing and Discounts",,product,external,0,59,,"Wordpress Plugins>E-commerce",,12
3119,"Hide My WP",,product,external,0,24,,"Wordpress Plugins>Security Plugin",,
3121,"Testimonials Showcase",,product,external,0,19,,"Wordpress Plugins>Miscellaneous",,
3123,Reviewer,,product,external,0,29,,"Wordpress Plugins>Miscellaneous",,
3125,"Let's Review",,product,external,0,29,,"Wordpress Plugins>Miscellaneous",,
3127,Taqyeem,,product,external,0,22,,"Wordpress Plugins>Page Builder",,
3129,"Rating Form",,product,external,0,26,,"Wordpress Plugins>Miscellaneous",,
3131,"Sidebar Widget Manager",,product,external,0,34,,"Wordpress Plugins>Page Builder",,
3133,"Custom Widget Areas for WordPress",,product,external,0,12,,"Wordpress Plugins>Page Builder",RightHere,
3135,"Widget Ninja",,product,external,0,15,,"Wordpress Plugins>Page Builder",,
3137,"Popping Sidebars and Widgets",,product,external,0,27,,"Wordpress Plugins>Page Builder",,
3139,"5sec Google Maps Pro",,product,external,0,20,,"Wordpress Plugins>Miscellaneous",,
3143,"Hero Maps Premium",,product,external,0,20,,"Wordpress Plugins>Miscellaneous",,
3147,UberMenu,,product,external,0,19,,"Wordpress Plugins>Miscellaneous",,
3149,"Hero Menu",,product,external,0,20,,"Wordpress Plugins>Miscellaneous",,
3151,"Ajax Translator Revolution",,product,external,0,25,,"Wordpress Plugins>Social Network &amp; Translation",,
3155,"The Grid",,product,external,0,25,,"Wordpress Plugins>Miscellaneous",,
3157,"Instagram Feed",,product,external,0,29,,"Wordpress Plugins>Miscellaneous",,
3159,"Elite Video Player",,product,external,0,49,,"Wordpress Plugins>Page Builder",,
3161,"Wordpress Automatic Plugin",,product,external,0,30,,"Wordpress Plugins>Miscellaneous",,
3163,Scrapes,,product,external,0,12,,"Wordpress Plugins>Miscellaneous",,
3165,"Responsive flipbook",,product,external,0,36,,"Wordpress Plugins>Miscellaneous",,
3167,"Ajax Search Pro",,product,external,0,29,,"Wordpress Plugins>Miscellaneous",,
3169,"Go Pricing",,product,external,0,27,,"Wordpress Plugins>Miscellaneous",,
3171,"Advanced Google Maps",,product,external,0,38,11,"Wordpress Plugins>Page Builder",,
3173,"Smart Image Compressor",,product,external,0,24,,"Wordpress Plugins>Wordpress Optimization",,
3177,"WP Data Tables",,product,external,0,299,,"Wordpress Plugins>Page Builder",,12
3179,"WP Cost Estimation",,product,external,0,44,,"Wordpress Plugins>Forms &amp; Popups",,11
3181,"WP Timeline",,product,external,0,25,,"Wordpress Plugins>Page Builder",,11
3183,"Content Egg",,product,external,0,68,,"Wordpress Plugins>Affiliate",WPsoul,13
3185,"White Label",,product,external,0,24,,"Wordpress Plugins>Miscellaneous",,11
3187,"Essential Grid",,product,external,0,26,,"Wordpress Plugins>Page Builder",,12
3189,"Master Slider",,product,external,0,22,,"Wordpress Plugins>Carousel &amp; Gallery",,12
3191,Kraken,,product,external,0,5,,"Wordpress Plugins>Wordpress Optimization",,11
3193,"Mega Menu",,product,external,0,18,,"Wordpress Plugins>Miscellaneous",,11
3195,"WordPress Real Media Library",,product,external,0,24,,"Wordpress Plugins>Miscellaneous",,61
3197,"Yellow Pencil",,product,external,0,25,,"Wordpress Plugins>Page Builder",,11
3203,"Mini Go",,product,external,0,15,,"Wordpress Plugins>Affiliate",,12
3205,"Image map pro",,product,external,0,39,,"Wordpress Plugins>Carousel &amp; Gallery",,11
3207,Mailster,,product,external,0,59,,"Wordpress Plugins>Social Network &amp; Translation",,11
3209,Tube,,product,external,0,18,,"Wordpress Plugins>Extensions",,11
3211,"Agile store locator",,product,external,0,25,,"Wordpress Plugins>Miscellaneous",,11
3215,"Album Stripes",,product,external,0,15,,"Wordpress Plugins>Carousel &amp; Gallery",,11
3217,Mycase,,product,external,0,32,,"Wordpress Plugins>Miscellaneous",,11
3223,"Google Analytics E-commerce",,product,external,0,10,,"Wordpress Plugins>Miscellaneous",,11
3225,"Woo Commerce Recover Abandoned Cart",,product,external,0,49,,"Wordpress Plugins>E-commerce",,11
3227,"Popup Container adobe muse widget",,product,external,0,12,,"Wordpress Plugins",,11
3229,"Ultratabs Magento Extension",,product,external,0,18,,"Wordpress Plugins",,11
3233,Powerbanners,,product,external,0,26,,"Wordpress Plugins>Extensions",,11
3235,Wunderadmin,,product,external,0,37,,"Wordpress Plugins>Extensions",,11
3239,"Magneto installer/duplicator",,product,external,0,49,,"Wordpress Plugins>Extensions",,11
3241,"Newsletter popup for magneto",,product,external,0,19,,"Wordpress Plugins>Extensions",,
3291,"Theme X",,product,external,0,29,,"Wordpress Themes>Multipurpose",,
3293,Newspaper,,product,external,0,59,,"Wordpress Themes>Blog / Magazine",tagDiv,
3297,The7,,product,external,0,39,,"Wordpress Themes>Corporate",,
3299,Sage,,product,external,0,59,,"Wordpress Themes>Food, Lifestyle &amp; Health",,
3301,Jupiter,,product,external,0,59,,"Wordpress Themes>Blog / Magazine",,
3305,Dreamvilla,,product,external,0,49,,"Uncategorized Reviews",,
3307,Publisher,,product,external,0,35,,"Wordpress Themes>Blog / Magazine",,
3309,Rehub,,product,external,0,55,,"Wordpress Themes>Blog / Magazine",,
3311,Photography,,product,external,0,59,,"Wordpress Themes>Creative",,
3313,Eduma,,product,external,0,69,,"Wordpress Themes>Education &amp; Non profit",,
3315,Buzzler,,product,external,0,69,,"Wordpress Themes>Page Builder",,
3317,Listify,,product,external,0,69,,"Wordpress Themes>Page Builder",,
3319,Kleo,,product,external,0,59,,"Wordpress Themes>Multipurpose",,
3321,Consulting,,product,external,0,59,,"Wordpress Themes>Multipurpose",,
3323,"WordPress Project Bidding : Sitemile",,product,external,0,99,,"Wordpress Themes>Multipurpose",,
3325,Enfold,,product,external,0,59,,"Wordpress Themes>Blog / Magazine",Kriesi,
3327,"Be Theme",,product,external,0,59,,"Wordpress Themes>Corporate",,
3329,Walleto,,product,external,0,79.99,,"Wordpress Themes>e-commerce",,
3331,Makery,,product,external,0,29,,"Wordpress Themes>e-commerce",,
3333,Jobify,,product,external,0,69,,"Wordpress Themes>Multipurpose",,
3335,Listable,,product,external,0,85,,"Wordpress Themes>e-commerce",,
3337,Motors,,product,external,0,79,,"Wordpress Themes>Food, Lifestyle &amp; Health",,
3341,"WYZI- Business Finder",,product,external,0,59,,"Wordpress Themes>Corporate",,
3343,"Real Places",,product,external,0,49,,"Wordpress Themes>Business Themes",,
3345,ApartmentWP,,product,external,0,59,,"Wordpress Themes>Business Themes",,12
3347,"Full House",,product,external,0,75,,"Wordpress Themes>Business Themes",,12
3349,Residence,,product,external,0,59,,"Wordpress Themes>Business Themes",,11
3351,"WP Rentals",,product,external,0,59,,"Wordpress Themes>Creative","Wp Estate",12
3353,"Real Homes",,product,external,0,59,,"Wordpress Themes>Business Themes",,11
3355,ROSA,,product,external,0,75,,"Wordpress Themes>Food, Lifestyle &amp; Health",,12
3357,Pronto,,product,external,0,64,,"Wordpress Themes>Food, Lifestyle &amp; Health",,11
3359,"Business Finder",,product,external,0,69,,"Wordpress Themes>e-commerce",,11
3361,"Sweet Date",,product,external,0,69,,"Wordpress Themes>Food, Lifestyle &amp; Health",,11
3363,Mingle,,product,external,0,79,,"Wordpress Themes>Food, Lifestyle &amp; Health",,11
